10,10,32
13,26,36
16,14,41
23,6,35
28,10,14
30,7,33
38,13,39
39,29,15
42,37,41
53,38,4
56,8,46
60,7,50
61,9,21
63,22,14
64,15,13
69,28,18
78,47,40
82,13,32
85,30,38
91,13,46
92,17,50
92,34,49
100,3,24
107,50,24
114,46,4
125,40,16
127,5,47
129,47,35
130,28,15
132,15,22
135,1,19
140,21,26
149,50,8
155,34,23
158,28,46
162,39,5
166,16,19
174,35,3
182,19,42
189,4,41
193,46,43
201,6,34
202,38,49
203,40,30
214,18,44
214,2,3
216,1,2
219,17,11
227,37,29
230,46,39
244,24,44
247,3,5
247,21,43
249,17,47
252,16,27
255,15,3
255,49,45
258,29,8
258,12,40
262,46,16
267,2,33
268,28,44
268,34,8
272,47,44
278,50,44
284,9,38
288,1,34
292,7,47
293,9,20
299,29,23
300,29,11
309,38,40
313,6,44
317,37,37
322,27,7
324,24,5
325,30,5
332,50,10
349,19,23
350,14,16
359,17,33
360,45,38
363,39,17
367,12,41
371,33,13
377,2,31
379,49,43
379,6,9
380,8,26
380,36,36
382,17,12
387,34,41
396,6,29
397,28,49
399,7,45
403,13,39
404,29,45
406,1,17
406,24,37
410,15,24
413,13,37
417,26,29
418,26,21
422,4,4
433,25,26
441,41,26
447,33,26
448,10,26
457,48,22
463,48,33
463,46,37
468,20,34
482,33,25
493,42,5
504,21,41
513,36,20
517,42,19
521,34,16
523,28,21
529,48,26
532,45,15
538,7,24
540,23,2
542,16,7
552,7,6
558,17,26
564,19,47
570,43,18
574,10,48
576,5,16
577,1,12
578,40,6
581,13,31
583,18,28
593,41,31
594,29,40
600,40,2
612,25,50
616,23,5
616,17,46
618,3,12
618,35,41
625,1,31
631,22,14
641,45,33
642,1,45
644,26,20
645,38,44
648,34,46
650,10,46
655,50,45
657,45,11
658,35,1
659,6,5
666,44,36
670,46,16
671,46,11
674,29,6
681,21,19
684,6,17
684,28,31
687,23,1
688,32,5
696,11,28
698,32,49
700,49,39
700,35,18
708,45,46
709,47,48
709,48,17
710,26,13
710,9,23
710,42,38
713,3,5
717,7,40
719,47,14
719,15,7
721,48,48
728,35,41
736,34,7
737,19,37
738,44,12
744,28,6
746,16,12
749,43,41
752,40,10
760,49,44
761,49,39
763,31,44
768,1,2
775,13,12
780,16,21
782,12,21
785,37,12
788,33,44
789,47,5
789,28,34
793,23,13
797,33,6
798,12,31
805,3,49
807,11,38
812,44,6
823,6,9
825,49,17
827,21,5
827,10,39
827,29,26
830,21,9
833,40,30
833,4,11
835,2,8
837,43,30
850,7,15
854,48,25
857,31,11
860,14,5
863,35,16
866,27,11
872,32,43
882,32,35
886,37,18
896,3,34
898,41,20
900,20,28
902,9,8
902,45,34
906,45,24
906,43,22
910,30,39
910,21,6
915,28,35
915,28,4
918,36,30
919,19,19
923,13,18
925,34,36
927,2,35
930,20,40
943,40,30
954,18,23
959,29,10
959,16,9
963,50,44
973,2,22
983,14,21
984,26,26
988,19,28
989,12,22
995,20,40
998,41,21
1005,40,11
1006,33,33
1009,18,47
1013,17,11
1018,3,40
1021,44,20
1029,4,26
1031,35,46
1033,29,21
1039,22,32
1052,25,21
1053,34,9
1062,11,44
1062,19,45
1063,38,26
1064,6,12
1065,32,47
1066,38,11
1067,33,34
1072,34,24
1075,30,43
1076,38,2
1078,24,23
1083,8,21
1089,16,3
1091,43,47
1093,33,49
1101,20,12
1105,46,19
1114,27,33
1114,8,16
1115,35,47
1115,40,10
1120,43,36
1122,23,6
1123,5,16
1124,7,40
1129,29,8
1131,32,16
1134,35,39
1138,21,15
1139,7,32
1140,16,37
1151,36,36
1154,11,34
1156,37,18
1157,20,38
1157,2,39
1159,33,34
